search_term_used,found_terms,url,title,law_number,date,status,summary,authors,proponent,committees,period,legislature,content_snippet,year,scraped_at
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/3d1704f19a7eba27052587130082987a?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 08078/2020-CR """,08078/2020-CR,15/07/2021,Al Archivo,"Propone crear un nuevo procedimiento administrativo policial y derogar el procedimiento judicial establecido en el Código Procesal Civil en los artículos 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596.","Arias Cáceres  Hector Jesús,Bartolo Romero  María Isabel,Gonzalez Cruz  Moises,Mamani Barriga  Jim Ali,Ramos Zapana  Rubén,Arapa Roque  Jesús Orlando",Congreso,16/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08078/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:15/07/2021
propo",2016,2025-09-17T20:53:45.600291
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/debusqueda2/3D1704F19A7EBA27052587130082987A?opendocument,"Ley 08078/2020-CR """,08078/2020-CR,15/07/2021,Al Archivo,"Propone crear un nuevo procedimiento administrativo policial y derogar el procedimiento judicial establecido en el Código Procesal Civil en los artículos 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596.","Arias Cáceres  Hector Jesús,Bartolo Romero  María Isabel,Gonzalez Cruz  Moises,Mamani Barriga  Jim Ali,Ramos Zapana  Rubén,Arapa Roque  Jesús Orlando",Congreso,16/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08078/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:15/07/2021
propo",2016,2025-09-17T20:53:46.847874
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/3d1704f19a7eba27052587130082987a?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 08078/2020-CR """,08078/2020-CR,15/07/2021,Al Archivo,"Propone crear un nuevo procedimiento administrativo policial y derogar el procedimiento judicial establecido en el Código Procesal Civil en los artículos 585, 586, 587, 588, 589, 590, 591, 592, 593, 594, 595, 596.","Arias Cáceres  Hector Jesús,Bartolo Romero  María Isabel,Gonzalez Cruz  Moises,Mamani Barriga  Jim Ali,Ramos Zapana  Rubén,Arapa Roque  Jesús Orlando",Congreso,16/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08078/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:15/07/2021
propo",2016,2025-09-17T20:53:48.052837
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/e504ca33d81f46e40525870c007ca899?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 08030/2020-CR """,08030/2020-CR,08/07/2021,Al Archivo,Propone modificar los artículos 19 y 20 del Código Civil a efectos de establecer un mecanismo de solución ante la disconformidad de los progenitores para asignar el orden de apellidos de los hijos. Envío a Comisión:,"Cabrera Pino  Benigno Leonel,Vega Antonio  José Alejandro,Chagua Payano  Posemoscrowte Irrhoscopt,Maquera Chavez  Héctor Simon,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander",Congreso,12/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08030/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:08/07/2021
propo",2016,2025-09-17T20:53:49.291716
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/debusqueda2/E504CA33D81F46E40525870C007CA899?opendocument,"Ley 08030/2020-CR """,08030/2020-CR,08/07/2021,Al Archivo,Propone modificar los artículos 19 y 20 del Código Civil a efectos de establecer un mecanismo de solución ante la disconformidad de los progenitores para asignar el orden de apellidos de los hijos. Envío a Comisión:,"Cabrera Pino  Benigno Leonel,Vega Antonio  José Alejandro,Chagua Payano  Posemoscrowte Irrhoscopt,Maquera Chavez  Héctor Simon,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander",Congreso,12/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08030/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:08/07/2021
propo",2016,2025-09-17T20:53:50.635117
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/e504ca33d81f46e40525870c007ca899?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 08030/2020-CR """,08030/2020-CR,08/07/2021,Al Archivo,Propone modificar los artículos 19 y 20 del Código Civil a efectos de establecer un mecanismo de solución ante la disconformidad de los progenitores para asignar el orden de apellidos de los hijos. Envío a Comisión:,"Cabrera Pino  Benigno Leonel,Vega Antonio  José Alejandro,Chagua Payano  Posemoscrowte Irrhoscopt,Maquera Chavez  Héctor Simon,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander",Congreso,12/07/2021 Decretado a,2016 - 2021,Cuarta Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 08030/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:cuarta legislatura ordinaria 2020
fecha presentación:08/07/2021
propo",2016,2025-09-17T20:53:51.859633
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/5039e8db11af2781052586400069ae06?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 06819/2020-CR """,06819/2020-CR,16/12/2020,Al Archivo,"Propone extender los beneficios de la Ley 26511, al personal militar, licenciados y personal civil de las Fuerzas Armadas que participaron en el conflicto del Cenepa 1995 Envío a Comisión: 18/12/2020 Decretado a... Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas","Chavarría Vilcatoma  Roberto Carlos,Vega Antonio  José Alejandro,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander,Maquera Chavez  Héctor Simon,Mendoza Marquina  Javier",Congreso,18/12/2020 Decretado a,2016 - 2021,Segunda Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 06819/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:segunda legislatura ordinaria 2020
fecha presentación:16/12/2020
prop",2016,2025-09-17T20:53:53.220583
unión civil,[],https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/debusqueda2/5039E8DB11AF2781052586400069AE06?opendocument,"Ley 06819/2020-CR """,06819/2020-CR,16/12/2020,Al Archivo,"Propone extender los beneficios de la Ley 26511, al personal militar, licenciados y personal civil de las Fuerzas Armadas que participaron en el conflicto del Cenepa 1995 Envío a Comisión: 18/12/2020 Decretado a... Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas","Chavarría Vilcatoma  Roberto Carlos,Vega Antonio  José Alejandro,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander,Maquera Chavez  Héctor Simon,Mendoza Marquina  Javier",Congreso,18/12/2020 Decretado a,2016 - 2021,Segunda Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 06819/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:segunda legislatura ordinaria 2020
fecha presentación:16/12/2020
prop",2016,2025-09-17T20:53:54.595035
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/5039e8db11af2781052586400069ae06?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 06819/2020-CR """,06819/2020-CR,16/12/2020,Al Archivo,"Propone extender los beneficios de la Ley 26511, al personal militar, licenciados y personal civil de las Fuerzas Armadas que participaron en el conflicto del Cenepa 1995 Envío a Comisión: 18/12/2020 Decretado a... Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas","Chavarría Vilcatoma  Roberto Carlos,Vega Antonio  José Alejandro,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander,Maquera Chavez  Héctor Simon,Mendoza Marquina  Javier",Congreso,18/12/2020 Decretado a,2016 - 2021,Segunda Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 06819/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:segunda legislatura ordinaria 2020
fecha presentación:16/12/2020
prop",2016,2025-09-17T20:53:55.827223
unión civil,[],"https://www2.congreso.gob.pe/Sicr/TraDocEstProc/CLProLey2016.nsf/e70a58c255248239052586cd0055cb8a/2a6ad50660c68a410525863c0082dd0b?OpenDocument&Highlight=0,uni%C3%B3n,civil","Ley 06790/2020-CR """,06790/2020-CR,12/12/2020,Al Archivo,"Propone extender los beneficios de la Ley 26511, al personal militar licenciados y personal civil de las Fuerzas Armadas que participaron en el Conflicto del Cenepa 199 Envío a Comisión: 15/12/2020 Decretado a... Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas","Chavarría Vilcatoma  Roberto Carlos,Vega Antonio  José Alejandro,Apaza Quispe  Yessica Marisela,Lozano Inostroza  Alexander,Maquera Chavez  Héctor Simon,Mendoza Marquina  Javier",Congreso,15/12/2020 Decretado a,2016 - 2021,Segunda Legislatura Ordinaria 2020,"












expediente del ""proyecto de ley 06790/2020-cr ""
ver expediente digital

período parlamentario:2016 - 2021
legislatura:segunda legislatura ordinaria 2020
fecha presentación:12/12/2020
prop",2016,2025-09-17T20:53:57.081573
