proyecto_ley,titulo,estado,fecha_presentacion,proponente,autores,search_term,sumilla,comisiones,url_detalle
05584/2022-CR,LEY QUE ESTABLECE LAS UNIONES CIVILES ENTRE PAREJAS DEL MISMO SEXO,EN COMISIÓN,2023-07-17T00:00:00.000-0500,Congreso,"Moyano Delgado, Martha Lupe; Morante Figari, Jorge Alberto; Guerra García Campos, Hernando; Olivos Martínez, Vivian; Alegría García, Arturo; Lizarzaburu Lizarzaburu, Juan Carlos Martin",parejas del mismo sexo,PROPONE ESTABLECER LAS UNIONES CIVILES ENTRE PAREJAS DEL MISMO SEXO.,"['Constitución y Reglamento', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5584
05819/2023-CR,LEY DE MATRIMONIO IGUALITARIO,EN COMISIÓN,2023-09-04T00:00:00.000-0500,Congreso,"Paredes Piqué, Susel Ana María; Bazán Narro, Sigrid Tesoro; Cortez Aguirre, Isabel; Reymundo Mercado, Edgard Cornelio; Sánchez Palomino, Roberto Helbert; Kamiche Morante, Luis Roberto; Luque Ibarra, Ruth",matrimonio igualitario,PROPONE MODIFICAR EL ARTÍCULO 234 DEL CÓDIGO CIVIL.,"['Constitución y Reglamento', 'Justicia y Derechos Humanos']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/5819
00525/2021-CR,Ley de Matrimonio Igualitario,EN COMISIÓN,2021-10-22T00:00:00.000-0500,Congreso,"Luque Ibarra, Ruth; Reymundo Mercado, Edgard Cornelio; Cortez Aguirre, Isabel; Bazán Narro, Sigrid Tesoro; Málaga Trillo, George Edward; Pablo Medina, Flor Aidee; Paredes Piqué, Susel Ana María; Alcarraz Agüero, Yorel Kira",matrimonio igualitario,Propone modificar el artículo 234 del Código Civil.,['Justicia y Derechos Humanos'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/525
12171/2025-CR,"PROYECTO DE LEY QUE DECLARA ZONA INTANGIBLE LAS CABECERAS DE CUENCAS HIDROGRÁFICAS PERTENECIENTES A LIRIOPAMPA DE LA PROVINCIA DE HUALGAYOC Y RAMOSCUCHO DE LA PROVINCIA DE CELENDÍN
",EN COMISIÓN,2025-08-21T00:00:00.000-0500,Congreso,"Echeverría Rodríguez, Hamlet; Sánchez Palomino, Roberto Helbert; Limachi Quispe, Nieves Esmeralda; Coayla Juárez, Jorge Samuel; Bermejo Rojas, Guillermo; Varas Meléndez, Elías Marcial",gay,"PROPONE DECLARAR ZONA INTANGIBLE LAS CABECERAS DE CUENCAS HIDROGRÁFICAS PERTENECIENTES AL CASERÍO DE LIRIOPAMPA, DEL CENTRO POBLADO DE HUANGAMARCA, DISTRITO DE BAMBAMARCA, PROVINCIA DE HUALGAYOC, Y AL CENTRO POBLADO RAMOSCUCHO, DEL DISTRITO DE LA LIBERTAD DE PALLAN, PROVINCIA DE CELENDÍN; QUEDANDO PROHIBIDO DENTRO DE DICHA ZONA REALIZARSE TODA ACTIVIDAD DE EXPLORACIÓN Y EXPLOTACIÓN MINERA, GARANTIZANDO UN DESARROLLO SOSTENIBLE CON LA CONSERVACIÓN Y PROTECCIÓN DE LOS ECOSISTEMAS QUE ALBERGA, QUEBRADAS, RÍOS, LAGUNAS Y MANANTIALES
",['Agraria'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/12171
12032/2025-CR,"PROYECTO DE LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE BAMBAMARCA (UNAB)

",EN COMISIÓN,2025-08-05T00:00:00.000-0500,Congreso,"Echeverría Rodríguez, Hamlet; Cutipa Ccama, Víctor Raúl; Coayla Juárez, Jorge Samuel; Bermejo Rojas, Guillermo; Limachi Quispe, Nieves Esmeralda; Varas Meléndez, Elías Marcial",gay,"PROPONE  DECLARAR DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE BAMBAMARCA (UNAB), DE LA PROVINCIA DE HUALGAYOC, DEL DEPARTAMENTO DE CAJAMARCA.","['Educación, Juventud y Deporte']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/12032
09993/2024-CR,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LOS ESTUDIOS Y CONSTRUCCIÓN DEL PROYECTO DE IRRIGACIÓN CORDILLERA VERDE, EN LAS PROVINCIAS CARHUAZ, YUNGAY Y HUAYLAS, DEPARTAMENTO DE ANCASH
",EN COMISIÓN,2025-01-20T00:00:00.000-0500,Congreso,"Portalatino Ávalos, Kelly Roxana; Cruz Mamani, Flavio; Agüero Gutiérrez, María Antonieta; Gonza Castillo, Américo; Mita Alanoca, Isaac; Cerrón Rojas, Waldemar José; Taipe Coronado, María Elizabeth",gay,"PROPONE DECLARAR DE NECESIDAD PÚBLICA E INTERÉS NACIONAL, LA REALIZACIÓN DE LOS ESTUDIOS TÉCNICOS Y CONSTRUCCIÓN DEL PROYECTO DE IRRIGACIÓN CORDILLERA VERDE EN LAS PROVINCIAS DE CARHUAZ, YUNGAY Y HUAYLAS",['Agraria'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/9993
09414/2024-CR,LEY QUE DECLARA DE INTERÉS NACIONAL LOS PROYECTOS DE FORESTACIÓN Y REFORESTACIÓN EN LA CORDILLERA NEGRA DEL DEPARTAMENTO ANCASH,Orden del Día,2024-11-05T00:00:00.000-0500,Congreso,"Portalatino Ávalos, Kelly Roxana; Cruz Mamani, Flavio; Cerrón Rojas, Waldemar José; Taipe Coronado, María Elizabeth; Agüero Gutiérrez, María Antonieta; Mita Alanoca, Isaac",gay,"PROPONE DECLARAR DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA FORESTACIÓN Y REFORESTACIÓN DE LA CORDILLERA NEGRA EN LAS PROVINCIAS DE RECUAY, HUARAZ, CARHUAZ, YUNGAY DEL DEPARTAMENTO DE ÁNCASH",['Agraria'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/9414
08813/2024-CR,"LEY QUE DISPONE LA CONTINUIDAD DEL FUNCIONAMIENTO INMEDIATO DE LAS ESCUELAS DE EDUCACIÓN SUPERIOR TÉCNICO PROFESIONAL DE AMAZONAS, ANDAHUAYLAS, CAJAMARCA, PUCALLPA, YUNGAY, HUANCAVELICA, MOQUEGUA, PASCO, TACNA, TUMBES, MAZAMARI Y SANTA LUCIA, PARA FORTALECER LA LUCHA FRONTAL CONTRA LA CRIMINALIDAD QUE VIENE AZOTANDO A LOS CIUDADANOS DE NUESTRO PAÍS Y GARANTIZAR LA SEGURIDAD CIUDADANA.",Publicada en el Diario Oficial El Peruano,2024-09-06T00:00:00.000-0500,Congreso,"Montalvo Cubas, Segundo Toribio; Cruz Mamani, Flavio; Agüero Gutiérrez, María Antonieta; Cerrón Rojas, Waldemar José; Mita Alanoca, Isaac; Portalatino Ávalos, Kelly Roxana",gay,"PROPONE AUTORIZAR LA CONTINUIDAD DE FUNCIONAMIENTO INMEDIATO DE LAS ESCUELAS DE EDUCACIÓN SUPERIOR TÉCNICO PROFESIONAL DE AMAZONAS, ANDAHUAYLAS, CAJAMARCA, PUCALLPA, YUNGAY, HUANCAVELICA, MOQUEGUA, PASCO, TACNA, TUMBES, MAZAMARI Y SANTA LUCIA PARA FORTALECER LA LUCHA FRONTAL CONTRA LA CRIMINALIDAD QUE VIENE AZOTANDO A LOS CIUDADANOS DE NUESTRO TERRITORIO NACIONAL.","['Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas', 'Presupuesto y Cuenta General de la República']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/8813
08103/2023-CR,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL, LA CREACIÓN DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DEL CALLEJÓN DE HUAYLAS, EN EL DISTRITO DE RANRAHIRCA, PROVINCIA DE YUNGAY DEL
DEPARTAMENTO DE ANCASH",DICTAMEN,2024-06-06T00:00:00.000-0500,Congreso,"Bellido Ugarte, Guido; Coayla Juárez, Jorge Samuel; Varas Meléndez, Elías Marcial",gay,"PROPONE DECLARAR DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN E IMPLEMENTACIÓN DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DEL CALLEJÓN DE HUAYLAS, CON PERSONERÍA JURÍDICA DE DERECHO PÚBLICO INTERNO, CON SEDE PRINCIPAL EN LA CIUDAD DE RANRAHIRCA, PROVINCIA DE YUNGAY DEL DEPARTAMENTO DE ANCASH.
","['Educación, Juventud y Deporte']",https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/8103
06391/2023-CR,"LEY QUE DECLARA DE NECESIDAD PUBLICA Y DE INTERÉS NACIONAL, LA REHABILITACION Y MEJORAMIENTO DE LA CARRETERA EMP. ACCESO NUEVO PUENTE PALLAR — PUENTE CHAGUAL EN LOS DISTRITOS DE CHUGAY Y
COCHORCO, PROVINCIA DE SANCHEZ CARRION DEL DEPARTAMENTO DE LA LIBERTAD",DICTAMEN,2023-11-13T00:00:00.000-0500,Congreso,"Flores Ruiz, Víctor Seferino; Infantes Castañeda, Mery Eliana; Revilla Villanueva, César Manuel; Rospigliosi Capurro, Fernando Miguel; López Morales, Jeny Luz; Castillo Rivas, Eduardo Enrique",gay,"PROPONE DECLARAR DE NECESIDAD PÚBLICA Y DE INTERÉS NACIONAL, LA REHABILITACIÓN Y MEJORAMIENTO DE LA CARRETERA EMP. ACCESO NUEVO PUENTE PALLAR — PUENTE CHAGUAL EN LOS DISTRITOS DE CHUGAY Y
COCHORCO, PROVINCIA DE SÁNCHEZ CARRIÓN DEL DEPARTAMENTO DE LA LIBERTAD — (CUI 2543519), CON LA FINALIDAD DE IMPULSAR EL DESARROLLO ECONÓMICO Y SOCIAL DE LA POBLACIÓN.
",['Transportes y Comunicaciones'],https://wb2server.congreso.gob.pe/spley-portal/#/expediente/main/2021/6391
